True Vp,Est Vp,True Ve,Est Ve,True Ktrans,Est Ktrans,True Kep,Est Kep,Vp %Err,Ve/Vp ratio
0.24021,0.32227,0.64854,0.57668,0.18204,0.16424,0.28069,0.2848,34.16177511,269.9887598
0.19981,0.42033,0.54088,0.4857,0.15136,0.13524,0.27983,0.27845,110.3648466,270.6971623
0.20896,0.336,0.57373,0.51171,0.13472,0.12054,0.23481,0.23556,60.79632466,274.56451
0.18771,0.42138,0.52644,0.4862,0.049494,0.043826,0.094016,0.090139,124.4845773,280.4538916
0.18255,0.44716,0.52229,0.46465,0.1475,0.1319,0.28241,0.28388,144.9520679,286.1079156
0.16833,0.41168,0.48641,0.42935,0.12228,0.1111,0.25138,0.25877,144.5672192,288.9621577
0.12583,0.20108,0.3645,0.32834,0.098719,0.087888,0.27083,0.26767,59.80290869,289.6765477
0.13509,0.1597,0.40355,0.35898,0.1164,0.10455,0.28843,0.29125,18.21748464,298.7267747
0.14875,0.018229,0.44817,0.40258,0.12007,0.10729,0.26791,0.26649,87.74521008,301.2907563
0.097468,0.30876,0.29373,0.25356,0.027585,0.025061,0.093914,0.098836,216.7808922,301.3604465
0.054925,0.09893,0.17105,0.1535,0.038689,0.034393,0.22619,0.22406,80.1183432,311.42467
0.22273,0.32689,0.72196,0.6467,0.16748,0.15091,0.23198,0.23335,46.76514165,324.141337
0.13171,0.38626,0.42793,0.37002,0.067635,0.0614,0.15805,0.16594,193.2655076,324.9031964
0.18802,0.24159,0.61921,0.55809,0.1429,0.12733,0.23077,0.22816,28.49164982,329.331986
0.056105,0.10405,0.18533,0.16523,0.048709,0.043589,0.26282,0.2638,85.45584173,330.3270653
0.20048,0.40815,0.67519,0.5974,0.1699,0.15412,0.25163,0.25799,103.5863927,336.7867119
0.18935,0.16788,0.64153,0.58197,0.055532,0.049697,0.086561,0.085394,11.3387906,338.8064431
0.13444,0.19275,0.45731,0.40695,0.112,0.1007,0.24492,0.24745,43.37250818,340.1591788
0.18456,0.13276,0.63311,0.57051,0.13966,0.12498,0.2206,0.21907,28.06675336,343.0374946
0.086562,0.11629,0.30171,0.27122,0.053618,0.047733,0.17772,0.176,34.34301426,348.5478616
0.084249,0.10226,0.294,0.26235,0.046018,0.041321,0.15653,0.1575,21.37829529,348.9655664
0.15132,0.16563,0.52906,0.47544,0.10555,0.094538,0.19951,0.19884,9.456780333,349.6299233
0.18425,0.16721,0.65229,0.58046,0.16188,0.14566,0.24818,0.25094,9.248303935,354.0244233
0.21519,0.41529,0.77535,0.6837,0.079374,0.071425,0.10237,0.10447,92.98759236,360.3094939
0.035843,0.29158,0.13043,0.11559,0.02896,0.025873,0.22202,0.22383,713.4921742,363.8925313
0.18328,0.27804,0.68001,0.60923,0.17868,0.16141,0.26276,0.26495,51.7023134,371.0224793
