BATfinal,VpFinal,KtransFinal,Kepfinal,VeFinal,RSSFinal,RSS0,RSS1,RSS2,RSS3,F1v0,F2v1,F3v2,BAT1,Vp1,BAT2,Vp2,Ktrans2,BAT3,Vp3,Ktrans3,Kep3,Ve3,WhichModel,TProb1,TProb2,TProb3,TProbFinal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.00099261,0.00053378,0.088942,0.0060014,2.46E-07,1.33E-05,3.10E-06,7.80E-07,2.46E-07,1,1,1,1,0.0022303,1,0.0015992,0.00020725,1,0.00099261,0.00053378,0.088942,0.0060014,4,0.96524,0.91834,0.87883,0.87883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.00057377,0.0011119,0.23148,0.0048035,1.21E-07,1.68E-05,3.81E-06,2.11E-06,1.21E-07,1,1,1,1,0.0025188,1,0.0019781,0.00017751,1,0.00057377,0.0011119,0.23148,0.0048035,4,0.97479,0.96954,0.94862,0.94862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.0015545,0.0020797,0.7391,0.0028138,2.97E-07,2.77E-05,2.27E-06,1.84E-06,2.97E-07,1,0.99971,1,1,0.003524,1,0.0032525,8.91E-05,1,0.0015545,0.0020797,0.7391,0.0028138,4,0.83631,0.82159,0.70721,0.70721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.0021489,0.0014495,0.38114,0.0038032,5.55E-07,3.97E-05,3.81E-06,2.65E-06,5.55E-07,1,1,1,1,0.0041845,1,0.0037382,0.00014656,1,0.0021489,0.0014495,0.38114,0.0038032,4,0.88711,0.86472,0.76699,0.76699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.0018465,0.00074464,0.17239,0.0043195,5.29E-07,2.53E-05,3.10E-06,1.54E-06,5.29E-07,1,1,1,1,0.0032912,1,0.0027733,0.00017007,1,0.0018465,0.00074464,0.17239,0.0043195,4,0.88781,0.83056,0.74912,0.74912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.0014622,0.0010679,0.16331,0.006539,7.29E-07,3.25E-05,6.35E-06,2.88E-06,7.29E-07,1,1,1,1,0.0035748,1,0.0028019,0.00025379,1,0.0014622,0.0010679,0.16331,0.006539,4,0.94542,0.91585,0.87432,0.87432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.0013118,0.00061232,0.13794,0.0044389,3.79E-07,1.65E-05,2.73E-06,1.13E-06,3.79E-07,1,1,1,1,0.0025917,1,0.0020667,0.00017238,1,0.0013118,0.00061232,0.13794,0.0044389,4,0.93796,0.89499,0.84827,0.84827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.0017606,0.0014536,0.31108,0.0046727,6.70E-07,3.80E-05,5.05E-06,3.25E-06,6.70E-07,1,1,1,1,0.0040069,1,0.0034517,0.00018233,1,0.0017606,0.0014536,0.31108,0.0046727,4,0.91648,0.89657,0.8329,0.8329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.0012791,0.0017553,0.24451,0.0071788,7.59E-07,4.71E-05,9.52E-06,5.45E-06,7.59E-07,1,1,1,1,0.0042797,1,0.0034438,0.00027446,1,0.0012791,0.0017553,0.24451,0.0071788,4,0.96202,0.95247,0.93284,0.93284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.0020197,0.0012786,0.16722,0.0076459,7.92E-07,5.03E-05,8.42E-06,3.83E-06,7.92E-07,1,1,1,1,0.0045216,1,0.0036337,0.00029155,1,0.0020197,0.0012786,0.16722,0.0076459,4,0.93799,0.90277,0.81955,0.81955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.00099264,0.00069764,0.08037,0.0086803,2.19E-07,1.96E-05,5.40E-06,1.13E-06,2.19E-07,1,1,1,1,0.0026334,1,0.0017768,0.00028126,1,0.00099264,0.00069764,0.08037,0.0086803,4,0.97347,0.9312,0.86193,0.86193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.0020367,0.001126,0.1625,0.0069294,3.82E-07,4.36E-05,6.45E-06,2.82E-06,3.82E-07,1,1,1,1,0.0042578,1,0.0034681,0.00025929,1,0.0020367,0.001126,0.1625,0.0069294,4,0.94465,0.90997,0.76574,0.76574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.00074824,0.00067205,0.091963,0.0073078,1.62E-07,1.51E-05,4.33E-06,1.05E-06,1.62E-07,1,1,1,1,0.0022892,1,0.001539,0.00024633,1,0.00074824,0.00067205,0.091963,0.0073078,4,0.97669,0.94834,0.89384,0.89384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.00090823,0.00077913,0.077176,0.010096,1.91E-07,2.25E-05,6.92E-06,1.33E-06,1.91E-07,1,1,1,1,0.0027586,1,0.0017786,0.00032179,1,0.00090823,0.00077913,0.077176,0.010096,4,0.97217,0.92421,0.81285,0.81285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.00081218,0.00058792,0.075291,0.0078087,1.42E-07,1.42E-05,4.14E-06,7.87E-07,1.42E-07,1,1,1,1,0.002219,1,0.0014603,0.00024909,1,0.00081218,0.00058792,0.075291,0.0078087,4,0.98026,0.94792,0.89502,0.89502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTCs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.095881,0.19176,0.28764,0.38352,0.4794,0.57528,0.67117,0.76705,0.86293,0.95881,1.0547,1.1506,1.2465,1.3423,1.4382,1.5341,1.63,1.7259,1.8217,1.9176,2.0135,2.1094,2.2053,2.3011,2.397,2.4929,2.5888,2.6847,2.7805,2.8764,2.9723,3.0682,3.1641,3.2599,3.3558,3.4517,3.5476,3.6435,3.7394,3.8352,3.9311,4.027,4.1229,4.2188,4.3146,4.4105,4.5064,4.6023,4.6982,4.794,4.8899,4.9858,5.0817,5.1776,5.2734,5.3693,5.4652,5.5611,5.657,10,15,20,30,60,
4.24E-05,3.26E-06,-2.49E-05,2.07E-05,-3.36E-05,-7.60E-06,-5.09E-05,7.08E-05,0.00031484,0.00036896,0.00027446,0.00032159,0.00032834,0.00035314,0.00038027,0.00035314,0.00039614,0.00034186,0.00034863,0.0003667,0.0003848,0.00034186,0.00037575,0.00039614,0.00040522,0.00040522,0.0003916,0.00040068,0.0003667,0.00038707,0.00040068,0.00037575,0.00037348,0.00037575,0.0004325,0.00042795,0.00043023,0.00043478,0.00037801,0.00044162,0.00040295,0.00042112,0.00043023,0.00045074,0.00042795,0.00038254,0.00042795,0.00041658,0.00040068,0.00047817,0.00044162,0.00046901,0.0004713,0.00045818,0.00043023,0.00046216,0.0005517,0.00043023,0.00047588,0.00043478,0.00047588,0.00040068,0.00037575,0.00035766,0.00029238,0.00030585
-2.00E-05,-4.58E-06,-6.30E-06,1.78E-05,1.95E-05,-6.30E-06,-1.15E-05,4.54E-05,0.00022694,0.00033868,0.00029595,0.0003262,0.00031017,0.00036727,0.0003262,0.00034582,0.00039237,0.00037265,0.00039416,0.00040853,0.00039775,0.00040853,0.00044095,0.00046082,0.00041933,0.00044095,0.00043194,0.00046263,0.00044276,0.00046986,0.00046263,0.00045359,0.00050613,0.00048617,0.00047348,0.00046625,0.0005134,0.00052068,0.0005134,0.00053889,0.00054254,0.0005316,0.00057543,0.00056079,0.00058275,0.00055166,0.00056262,0.00055531,0.00054254,0.00064708,0.00059375,0.00060843,0.00061027,0.00061948,0.00060476,0.00065446,0.00067849,0.00059741,0.00061394,0.0006305,0.00064892,0.00067109,0.0006933,0.00061394,0.00056445,0.00059191
