68,,,,,,,,,,TRUE,,
VP,KTRANS,KEP ,,,,,,,,VP,KTRANS,KEP 
0.00035847,0.0003124,0.0002322,0.00018916,0.00056187,0.0004983,,3,,,,,
0.00029181,0.00030363,0.00023709,0.00044926,0.00044444,0.00045686,,3,,,,,
0.00041493,0.00037575,0.00033328,0.00057236,0.00060541,0.00064368,,3,,,,,
0.00044249,0.0012451,0.0010098,0.00091583,0.00084635,0.00078538,,3,,,,,
0.00054756,0.00048839,0.00091486,0.00092239,0.00091512,0.00090436,,3,,,,,
0.00042705,0.0003898,0.00033418,0.00063756,0.000669,0.0007024,,3,,,,,
0.00082515,0.00069951,0.00058464,0.0011539,0.0011095,0.0010464,,3,,,,,
0.00068125,0.0005975,0.0013527,0.0014029,0.0014121,0.0012801,,3,,,,,
0.00041999,0.00038235,0.00031973,0.00026357,0.00056764,0.00059158,,3,,,,,
0.00095232,0.00083447,0.0017731,0.0016047,0.0014597,0.001333,,3,,,,,
0.00095341,0.0021003,0.00218,0.0018261,0.0014435,0.0011347,,3,,,,,
0.00058738,0.00055846,0.00053461,0.00068384,0.00068783,0.00070701,,3,,,,,
0.00070536,0.00069099,0.0012161,0.0012972,0.0012724,0.001211,,3,,,,,
0.00055944,0.00052814,0.00043949,0.00032496,0.0010482,0.00097675,,3,,,,,
0.00047883,0.0003949,0.00027211,0.00017819,0.00011199,NaN,,4,,,,,
0.00035902,0.00029509,0.0009483,0.00098702,0.00074395,0.00052106,,4,,,,,
0.00030608,0.00027343,0.00023889,0.00043782,0.00045475,0.00048619,,4,,,,,
0.00036155,0.00033341,0.00074833,0.00078492,0.00077147,0.00079035,,4,,,,,
0.00063776,0.0023251,0.0024264,0.0026172,0.0027229,0.0027037,,4,,,,,
0.00072791,0.0022756,0.0022793,0.0020341,0.0018351,0.0018615,,4,,,,,
0.00051491,0.0020803,0.0019981,0.0018108,0.0017115,0.0017112,,4,,,,,
0.00056698,0.00052641,0.0012457,0.0012938,0.0012155,0.0010651,,4,,,,,
0.00040714,0.000353,0.0010417,0.00099279,0.0010082,0.0010274,,4,,,,,
0.00069963,0.00067411,0.0012801,0.0013487,0.0013183,0.0011838,,4,,,,,
0.0018395,0.0014624,0.001265,0.0012091,0.0012156,0.0012523,,4,,,,,
0.002249,0.0016014,0.0014292,0.0013144,0.001141,0.0011002,,4,,,,,
0.00055144,0.0004619,0.0017674,0.001778,0.0016038,0.0014219,,4,,,,,
0.00065459,0.0005492,0.0016671,0.0016574,0.0015007,0.0010862,,4,,,,,
0.0027625,0.0025915,0.00028191,0.00018322,0.00013054,NaN,,4,,,,,
0.00068453,0.00061861,0.0013808,0.0015019,0.0015429,0.0015558,,4,,,,,
0.00077961,0.00070444,0.001425,0.0014472,0.0014493,0.001405,,4,,,,,
,,,,,,,,,,,,
KEP ,,,,,,,,,,,,
