True Vp,Est Vp,True Ve,Est Ve,True Ktrans,Est Ktrans,True Kep,Est Kep,Vp %Err,Ktrans %Err,Kep %Err
0.15148,0.13452,47.817,42.823,0.47817,0.42986,0.01,0.010038,11.20,10.10,0.38
0.11635,0.10421,5.4662,4.8552,0.054662,0.049081,0.01,0.010109,10.43,10.21,1.09
0.087949,0.076378,19.481,17.245,0.19481,0.17605,0.01,0.010209,13.16,9.63,2.09
0.16704,0.15065,15.944,14.407,0.15944,0.14289,0.01,0.0099183,9.81,10.38,0.82
0.11073,0.095088,30.346,27.206,0.30346,0.27271,0.01,0.010024,14.13,10.13,0.24
0.041523,0.031999,35.161,30.755,0.35161,0.31699,0.01,0.010307,22.94,9.85,3.07
0.078203,0.07085,36.511,32.731,0.36511,0.32759,0.01,0.010008,9.40,10.28,0.08
0.25256,0.22932,39.562,36.167,0.39562,0.35447,0.01,0.0098008,9.20,10.40,1.99
0.074099,0.068473,7.9638,6.9574,0.079638,0.071947,0.01,0.010341,7.59,9.66,3.41
0.12406,0.10978,23.199,21.367,0.23199,0.20772,0.01,0.0097214,11.51,10.46,2.79
0.026297,0.024499,36.63,33.518,0.3663,0.32844,0.01,0.0097988,6.84,10.34,2.01
0.06735,0.060634,20.921,18.617,0.20921,0.18821,0.01,0.01011,9.97,10.04,1.10
0.17809,0.15789,36.548,33.9,0.36548,0.32773,0.01,0.0096675,11.34,10.33,3.32
0.1469,0.13528,16.235,14.777,0.16235,0.14505,0.01,0.009816,7.91,10.66,1.84
0.055849,0.056656,43.079,39.593,0.43079,0.3846,0.01,0.009714,1.44,10.72,2.86
0.23222,0.21162,33,29.663,0.33,0.29579,0.01,0.0099718,8.87,10.37,0.28
0.021439,0.020113,41.583,36.96,0.41583,0.37357,0.01,0.010107,6.18,10.16,1.07
0.067769,0.062981,10.967,10.081,0.10967,0.097777,0.01,0.0096994,7.07,10.84,3.01
0.27749,0.25399,40.134,36.123,0.40134,0.36117,0.01,0.0099983,8.47,10.01,0.02
0.29696,0.25854,32.182,29.505,0.32182,0.28782,0.01,0.009755,12.94,10.56,2.45
0.10714,0.099538,27.317,25.347,0.27317,0.24479,0.01,0.0096576,7.10,10.39,3.42
0.19809,0.17552,21.052,18.895,0.21052,0.18915,0.01,0.010011,11.39,10.15,0.11
0.095813,0.089382,14.814,13.289,0.14814,0.13278,0.01,0.009992,6.71,10.37,0.08
0.22671,0.20485,7.4579,6.8988,0.074579,0.066453,0.01,0.0096325,9.64,10.90,3.68
0.14857,0.12815,36.506,32.719,0.36506,0.32811,0.01,0.010028,13.74,10.12,0.28
0.2085,0.19044,40.153,36.039,0.40153,0.35885,0.01,0.0099571,8.66,10.63,0.43
0.023169,0.020406,21.761,19.601,0.21761,0.1955,0.01,0.0099737,11.93,10.16,0.26
0.28898,0.26048,27.175,24.864,0.27175,0.24376,0.01,0.0098038,9.86,10.30,1.96
0.29257,0.26222,12.67,11.066,0.1267,0.11417,0.01,0.010318,10.37,9.89,3.18
0.1903,0.17155,8.6886,7.7498,0.086886,0.078,0.01,0.010065,9.85,10.23,0.65
0.053314,0.04787,6.7569,6.0707,0.067569,0.060733,0.01,0.010004,10.21,10.12,0.04
0.022942,0.019123,23.842,21.234,0.23842,0.21413,0.01,0.010085,16.65,10.19,0.85
0.23549,0.21154,14.868,13.357,0.14868,0.13357,0.01,0.01,10.17,10.16,0.00
0.11515,0.10797,47.898,43.238,0.47898,0.42959,0.01,0.0099354,6.24,10.31,0.65
0.23007,0.21069,35.211,32.162,0.35211,0.31408,0.01,0.0097656,8.42,10.80,2.34
0.13827,0.12269,15.099,13.469,0.15099,0.13599,0.01,0.010096,11.27,9.93,0.96
0.072361,0.064633,13.457,11.984,0.13457,0.12128,0.01,0.01012,10.68,9.88,1.20
0.055842,0.055924,28.775,25.46,0.28775,0.25911,0.01,0.010177,0.15,9.95,1.77
0.20921,0.18615,21.341,18.947,0.21341,0.19183,0.01,0.010124,11.02,10.11,1.24
0.16511,0.16323,38.877,35.731,0.38877,0.34753,0.01,0.0097263,1.14,10.61,2.74
0.17552,0.15518,13.424,11.672,0.13424,0.1209,0.01,0.010359,11.59,9.94,3.59
0.24963,0.22381,5.2447,4.898,0.052447,0.046807,0.01,0.0095562,10.34,10.75,4.44
0.19415,0.18025,27.918,25.398,0.27918,0.2501,0.01,0.009847,7.16,10.42,1.53
