True Vp,Est Vp,True Ve,Est Ve,True Ktrans,Est Ktrans,True Kep,Est Kep
0.048794,0.044056,1.4429,1.204,0.15872,0.14544,0.11,0.1208
0.06659,0.061845,2.8111,2.6636,0.30922,0.27299,0.11,0.10249
0.075188,0.068369,1.7789,1.649,0.19568,0.17387,0.11,0.10544
0.025194,0.025334,2.3402,2.1227,0.25742,0.22868,0.11,0.10773
0.11113,0.10213,1.4128,1.4447,0.15541,0.13515,0.11,0.093552
0.063059,0.057527,2.7001,2.3186,0.29701,0.26911,0.11,0.11606
0.21943,0.19769,3.0071,2.6171,0.33079,0.30078,0.11,0.11493
0.10844,0.099447,3.8461,3.7497,0.42307,0.37432,0.11,0.099825
0.065769,0.060936,3.1863,2.6172,0.35049,0.3203,0.11,0.12238
0.015583,0.013677,0.94636,0.79806,0.1041,0.094193,0.11,0.11803
0.24429,0.21996,2.0862,1.8994,0.22948,0.20555,0.11,0.10822
0.030401,0.028331,1.3421,1.256,0.14763,0.13009,0.11,0.10357
0.14704,0.13316,2.861,2.4636,0.31471,0.28567,0.11,0.11595
0.038877,0.039706,3.9134,3.4318,0.43047,0.38462,0.11,0.11207
0.26568,0.23869,1.2315,0.95783,0.13546,0.12718,0.11,0.13278
0.0964,0.089058,2.9292,2.6222,0.32221,0.28787,0.11,0.10978
0.29937,0.26703,3.6238,3.311,0.39861,0.35637,0.11,0.10763
0.066647,0.062786,4.3315,3.8334,0.47646,0.42908,0.11,0.11193
0.20875,0.18593,3.8015,3.3449,0.41817,0.37597,0.11,0.1124
0.057207,0.049571,3.9261,3.5547,0.43188,0.38858,0.11,0.10932
0.041373,0.037989,2.8576,2.5994,0.31433,0.28164,0.11,0.10835
0.076141,0.067239,1.6775,1.5536,0.18452,0.16576,0.11,0.10669
0.23378,0.20635,3.2862,3.1963,0.36148,0.3207,0.11,0.10033
0.1481,0.13453,3.2979,2.767,0.36277,0.3328,0.11,0.12027
0.20463,0.18163,3.2114,2.8123,0.35326,0.32036,0.11,0.11391
0.2816,0.25174,1.1337,0.9866,0.12471,0.11198,0.11,0.1135
0.28315,0.25505,0.87905,0.90691,0.096695,0.084658,0.11,0.093347
0.28035,0.25007,2.9169,2.8349,0.32085,0.28385,0.11,0.10013
0.1469,0.12982,2.1474,1.7997,0.23621,0.21531,0.11,0.11963
0.029807,0.027458,3.0007,2.6366,0.33008,0.29984,0.11,0.11372
0.072468,0.066643,2.9169,2.7843,0.32086,0.2823,0.11,0.10139
0.083442,0.074975,0.99789,0.8683,0.10977,0.098858,0.11,0.11385
0.22087,0.20164,1.333,1.4542,0.14663,0.12833,0.11,0.088246
0.10873,0.10316,3.2799,3.2744,0.36079,0.31339,0.11,0.095711
0.19111,0.17341,1.1917,1.03,0.13109,0.11931,0.11,0.11583
0.12793,0.10908,3.2192,2.4641,0.35412,0.3322,0.11,0.13481
0.095111,0.08741,2.3828,1.9571,0.2621,0.23992,0.11,0.12259
0.12745,0.11019,3.4274,3.1172,0.37702,0.34032,0.11,0.10918
0.23683,0.21313,1.1441,0.98112,0.12585,0.11422,0.11,0.11641
0.29583,0.26594,1.0892,1.0551,0.11981,0.10599,0.11,0.10046
0.094637,0.084181,1.474,1.3269,0.16214,0.14626,0.11,0.11023
0.2588,0.23339,3.0859,2.7033,0.33945,0.30636,0.11,0.11332
0.23642,0.21422,1.8823,1.9087,0.20705,0.18042,0.11,0.094521
0.092511,0.084904,2.82,2.4368,0.3102,0.28001,0.11,0.11491
0.1218,0.10992,0.67328,0.58415,0.074061,0.067004,0.11,0.1147
0.028565,0.026437,0.94145,0.85829,0.10356,0.091942,0.11,0.10712
0.13837,0.12623,1.2667,1.1643,0.13933,0.12478,0.11,0.10717
0.071454,0.066155,2.1686,2.005,0.23854,0.2126,0.11,0.10604
0.25099,0.22705,1.6628,1.6017,0.18291,0.16182,0.11,0.10103
0.07895,0.070339,1.3958,1.3486,0.15354,0.13572,0.11,0.10064
0.032588,0.032064,4.4817,4.0221,0.49298,0.44431,0.11,0.11047
0.1156,0.10356,2.1548,2.1129,0.23702,0.20979,0.11,0.09929
0.28082,0.25235,1.5173,1.1709,0.1669,0.15588,0.11,0.13314
0.20375,0.18443,1.4908,1.3645,0.16398,0.14522,0.11,0.10643
0.14412,0.13482,4.1002,3.9168,0.45103,0.39608,0.11,0.10112
0.040942,0.037446,2.0248,1.7149,0.22273,0.20205,0.11,0.11782
0.26169,0.23469,2.2734,2.3199,0.25007,0.22211,0.11,0.095741
0.27507,0.24238,4.3052,3.657,0.47358,0.43307,0.11,0.11842
0.039428,0.03624,0.57635,0.54596,0.063398,0.056148,0.11,0.10284
0.20594,0.1854,0.71847,0.71415,0.079032,0.069497,0.11,0.097315
0.16224,0.14453,4.3054,3.7199,0.4736,0.43424,0.11,0.11673
0.23081,0.20844,0.86129,0.77309,0.094742,0.083523,0.11,0.10804
0.025644,0.023754,1.4974,1.2764,0.16472,0.14819,0.11,0.1161
0.022552,0.021197,4.3927,3.8799,0.48319,0.43708,0.11,0.11265
0.22137,0.19656,1.5331,1.167,0.16864,0.15684,0.11,0.1344
0.21061,0.18782,4.2675,3.7438,0.46943,0.4212,0.11,0.11251
0.13263,0.11591,1.5879,1.3888,0.17466,0.15911,0.11,0.11457
0.29976,0.26763,4.5231,4.1665,0.49754,0.44723,0.11,0.10734
0.19776,0.17578,3.4869,3.0576,0.38356,0.3455,0.11,0.113
0.10005,0.091563,1.9646,1.8096,0.2161,0.19319,0.11,0.10676
0.10081,0.096714,4.0475,3.4335,0.44522,0.40115,0.11,0.11683
0.27669,0.24835,2.6045,2.4425,0.2865,0.25822,0.11,0.10572
0.10577,0.094617,1.0868,0.97933,0.11955,0.10634,0.11,0.10859
0.28661,0.25724,4.0438,3.7365,0.44482,0.39557,0.11,0.10587
